table_schema,table_name,column_position,column_name,data_type,character_maximum_length,is_nullable,column_default
auth,users,35,is_anonymous,boolean,null,NO,false
auth,audit_log_entries,1,instance_id,uuid,null,YES,null
auth,audit_log_entries,2,id,uuid,null,NO,null
auth,audit_log_entries,3,payload,json,null,YES,null
auth,audit_log_entries,4,created_at,timestamp with time zone,null,YES,null
auth,audit_log_entries,5,ip_address,character varying,64,NO,''::character varying
auth,saml_relay_states,1,id,uuid,null,NO,null
auth,saml_relay_states,2,sso_provider_id,uuid,null,NO,null
auth,saml_relay_states,3,request_id,text,null,NO,null
auth,saml_relay_states,4,for_email,text,null,YES,null
auth,saml_relay_states,5,redirect_to,text,null,YES,null
auth,saml_relay_states,7,created_at,timestamp with time zone,null,YES,null
auth,saml_relay_states,8,updated_at,timestamp with time zone,null,YES,null
auth,saml_relay_states,9,flow_state_id,uuid,null,YES,null
auth,mfa_amr_claims,1,session_id,uuid,null,NO,null
auth,mfa_amr_claims,2,created_at,timestamp with time zone,null,NO,null
auth,mfa_amr_claims,3,updated_at,timestamp with time zone,null,NO,null
auth,mfa_amr_claims,4,authentication_method,text,null,NO,null
auth,mfa_amr_claims,5,id,uuid,null,NO,null
auth,flow_state,1,id,uuid,null,NO,null
auth,flow_state,2,user_id,uuid,null,YES,null
auth,flow_state,3,auth_code,text,null,NO,null
auth,flow_state,4,code_challenge_method,USER-DEFINED,null,NO,null
auth,flow_state,5,code_challenge,text,null,NO,null
auth,flow_state,6,provider_type,text,null,NO,null
auth,flow_state,7,provider_access_token,text,null,YES,null
auth,flow_state,8,provider_refresh_token,text,null,YES,null
auth,flow_state,9,created_at,timestamp with time zone,null,YES,null
auth,flow_state,10,updated_at,timestamp with time zone,null,YES,null
auth,flow_state,11,authentication_method,text,null,NO,null
auth,flow_state,12,auth_code_issued_at,timestamp with time zone,null,YES,null
auth,identities,1,provider_id,text,null,NO,null
auth,identities,2,user_id,uuid,null,NO,null
auth,identities,3,identity_data,jsonb,null,NO,null
auth,identities,4,provider,text,null,NO,null
auth,identities,5,last_sign_in_at,timestamp with time zone,null,YES,null
auth,identities,6,created_at,timestamp with time zone,null,YES,null
auth,identities,7,updated_at,timestamp with time zone,null,YES,null
auth,identities,8,email,text,null,YES,null
auth,identities,9,id,uuid,null,NO,gen_random_uuid()
auth,one_time_tokens,1,id,uuid,null,NO,null
auth,one_time_tokens,2,user_id,uuid,null,NO,null
auth,one_time_tokens,3,token_type,USER-DEFINED,null,NO,null
auth,one_time_tokens,4,token_hash,text,null,NO,null
auth,one_time_tokens,5,relates_to,text,null,NO,null
auth,one_time_tokens,6,created_at,timestamp without time zone,null,NO,now()
auth,one_time_tokens,7,updated_at,timestamp without time zone,null,NO,now()
storage,migrations,1,id,integer,null,NO,null
storage,migrations,2,name,character varying,100,NO,null
storage,migrations,3,hash,character varying,40,NO,null
storage,migrations,4,executed_at,timestamp without time zone,null,YES,CURRENT_TIMESTAMP
auth,mfa_challenges,1,id,uuid,null,NO,null
auth,mfa_challenges,2,factor_id,uuid,null,NO,null
auth,mfa_challenges,3,created_at,timestamp with time zone,null,NO,null
auth,mfa_challenges,4,verified_at,timestamp with time zone,null,YES,null
auth,mfa_challenges,5,ip_address,inet,null,NO,null
auth,mfa_challenges,6,otp_code,text,null,YES,null
auth,mfa_challenges,7,web_authn_session_data,jsonb,null,YES,null
auth,sessions,1,id,uuid,null,NO,null
auth,sessions,2,user_id,uuid,null,NO,null
auth,sessions,3,created_at,timestamp with time zone,null,YES,null
auth,sessions,4,updated_at,timestamp with time zone,null,YES,null
auth,sessions,5,factor_id,uuid,null,YES,null
auth,sessions,6,aal,USER-DEFINED,null,YES,null
auth,sessions,7,not_after,timestamp with time zone,null,YES,null
auth,sessions,8,refreshed_at,timestamp without time zone,null,YES,null
auth,sessions,9,user_agent,text,null,YES,null
auth,sessions,10,ip,inet,null,YES,null
auth,sessions,11,tag,text,null,YES,null
auth,sessions,12,oauth_client_id,uuid,null,YES,null
auth,sessions,13,refresh_token_hmac_key,text,null,YES,null
auth,sessions,14,refresh_token_counter,bigint,null,YES,null
auth,oauth_clients,1,id,uuid,null,NO,null
auth,oauth_clients,3,client_secret_hash,text,null,YES,null
auth,oauth_clients,4,registration_type,USER-DEFINED,null,NO,null
auth,oauth_clients,5,redirect_uris,text,null,NO,null
auth,oauth_clients,6,grant_types,text,null,NO,null
auth,oauth_clients,7,client_name,text,null,YES,null
auth,oauth_clients,8,client_uri,text,null,YES,null
auth,oauth_clients,9,logo_uri,text,null,YES,null
auth,oauth_clients,10,created_at,timestamp with time zone,null,NO,now()
auth,oauth_clients,11,updated_at,timestamp with time zone,null,NO,now()
auth,oauth_clients,12,deleted_at,timestamp with time zone,null,YES,null
auth,oauth_clients,13,client_type,USER-DEFINED,null,NO,'confidential'::auth.oauth_client_type
realtime,messages_2025_09_29,1,topic,text,null,NO,null
realtime,messages_2025_09_29,2,extension,text,null,NO,null
realtime,messages_2025_09_29,3,payload,jsonb,null,YES,null
realtime,messages_2025_09_29,4,event,text,null,YES,null
realtime,messages_2025_09_29,5,private,boolean,null,YES,false
realtime,messages_2025_09_29,6,updated_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_29,7,inserted_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_29,8,id,uuid,null,NO,gen_random_uuid()
storage,s3_multipart_uploads_parts,1,id,uuid,null,NO,gen_random_uuid()
storage,s3_multipart_uploads_parts,2,upload_id,text,null,NO,null
storage,s3_multipart_uploads_parts,3,size,bigint,null,NO,0
storage,s3_multipart_uploads_parts,4,part_number,integer,null,NO,null
storage,s3_multipart_uploads_parts,5,bucket_id,text,null,NO,null
storage,s3_multipart_uploads_parts,6,key,text,null,NO,null
storage,s3_multipart_uploads_parts,7,etag,text,null,NO,null
storage,s3_multipart_uploads_parts,8,owner_id,text,null,YES,null
storage,s3_multipart_uploads_parts,9,version,text,null,NO,null
storage,s3_multipart_uploads_parts,10,created_at,timestamp with time zone,null,NO,now()
storage,s3_multipart_uploads,1,id,text,null,NO,null
storage,s3_multipart_uploads,2,in_progress_size,bigint,null,NO,0
storage,s3_multipart_uploads,3,upload_signature,text,null,NO,null
storage,s3_multipart_uploads,4,bucket_id,text,null,NO,null
storage,s3_multipart_uploads,5,key,text,null,NO,null
storage,s3_multipart_uploads,6,version,text,null,NO,null
storage,s3_multipart_uploads,7,owner_id,text,null,YES,null
storage,s3_multipart_uploads,8,created_at,timestamp with time zone,null,NO,now()
storage,s3_multipart_uploads,9,user_metadata,jsonb,null,YES,null
public,chat_sessions,1,id,uuid,null,NO,uuid_generate_v4()
public,chat_sessions,2,workspace_id,uuid,null,YES,null
public,chat_sessions,3,session_id,character varying,255,NO,null
public,chat_sessions,4,visitor_id,character varying,255,YES,null
public,chat_sessions,5,messages,jsonb,null,NO,'[]'::jsonb
public,chat_sessions,6,status,character varying,50,YES,'active'::character varying
public,chat_sessions,7,source_url,text,null,YES,null
public,chat_sessions,8,user_agent,text,null,YES,null
public,chat_sessions,9,ip_address,inet,null,YES,null
public,chat_sessions,10,started_at,timestamp with time zone,null,YES,now()
public,chat_sessions,11,ended_at,timestamp with time zone,null,YES,null
public,chat_sessions,12,last_activity,timestamp with time zone,null,YES,now()
public,chat_sessions,13,created_at,timestamp with time zone,null,YES,now()
public,chat_sessions,14,updated_at,timestamp with time zone,null,YES,now()
public,chat_sessions,15,user_id,uuid,null,YES,null
public,documents,1,id,uuid,null,NO,uuid_generate_v4()
public,documents,2,user_id,uuid,null,YES,null
public,documents,3,filename,text,null,YES,null
public,documents,4,content,text,null,YES,null
public,documents,5,created_at,timestamp without time zone,null,YES,now()
public,documents,6,file_name,text,null,YES,null
public,documents,7,status,text,null,NO,'PENDING'::text
public,documents,8,workspace_id,uuid,null,YES,null
public,documents,9,content_type,character varying,100,YES,'text/plain'::character varying
public,documents,10,file_size,integer,null,YES,null
public,documents,11,processing_error,text,null,YES,null
public,documents,12,embedding_status,character varying,50,YES,'pending'::character varying
public,documents,13,updated_at,timestamp with time zone,null,YES,now()
public,documents,14,word_count,integer,null,YES,null
public,orders,1,id,uuid,null,NO,gen_random_uuid()
public,orders,2,razorpay_order_id,text,null,NO,null
public,orders,3,user_id,uuid,null,NO,null
public,orders,4,plan_id,text,null,NO,null
public,orders,5,billing_period,text,null,NO,'monthly'::text
public,orders,6,amount,numeric,null,NO,null
public,orders,7,currency,text,null,NO,'INR'::text
public,orders,8,notes,jsonb,null,YES,'{}'::jsonb
public,orders,9,status,text,null,NO,'created'::text
public,orders,10,created_at,timestamp with time zone,null,NO,now()
public,orders,11,updated_at,timestamp with time zone,null,NO,now()
public,orders,12,idempotency_key,text,null,YES,null
public,orders,13,request_id,text,null,YES,null
public,orders,14,version,integer,null,NO,1
realtime,messages_2025_09_24,1,topic,text,null,NO,null
realtime,messages_2025_09_24,2,extension,text,null,NO,null
realtime,messages_2025_09_24,3,payload,jsonb,null,YES,null
realtime,messages_2025_09_24,4,event,text,null,YES,null
realtime,messages_2025_09_24,5,private,boolean,null,YES,false
realtime,messages_2025_09_24,6,updated_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_24,7,inserted_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_24,8,id,uuid,null,NO,gen_random_uuid()
realtime,messages_2025_09_26,1,topic,text,null,NO,null
realtime,messages_2025_09_26,2,extension,text,null,NO,null
realtime,messages_2025_09_26,3,payload,jsonb,null,YES,null
realtime,messages_2025_09_26,4,event,text,null,YES,null
realtime,messages_2025_09_26,5,private,boolean,null,YES,false
realtime,messages_2025_09_26,6,updated_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_26,7,inserted_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_26,8,id,uuid,null,NO,gen_random_uuid()
realtime,schema_migrations,1,version,bigint,null,NO,null
realtime,schema_migrations,2,inserted_at,timestamp without time zone,null,YES,null
realtime,messages_2025_09_25,1,topic,text,null,NO,null
realtime,messages_2025_09_25,2,extension,text,null,NO,null
realtime,messages_2025_09_25,3,payload,jsonb,null,YES,null
realtime,messages_2025_09_25,4,event,text,null,YES,null
realtime,messages_2025_09_25,5,private,boolean,null,YES,false
realtime,messages_2025_09_25,6,updated_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_25,7,inserted_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_25,8,id,uuid,null,NO,gen_random_uuid()
realtime,messages_2025_09_27,1,topic,text,null,NO,null
realtime,messages_2025_09_27,2,extension,text,null,NO,null
realtime,messages_2025_09_27,3,payload,jsonb,null,YES,null
realtime,messages_2025_09_27,4,event,text,null,YES,null
realtime,messages_2025_09_27,5,private,boolean,null,YES,false
realtime,messages_2025_09_27,6,updated_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_27,7,inserted_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_27,8,id,uuid,null,NO,gen_random_uuid()
public,audit_logs,1,id,uuid,null,NO,gen_random_uuid()
public,audit_logs,2,user_id,uuid,null,YES,null
public,audit_logs,3,workspace_id,uuid,null,YES,null
public,audit_logs,4,action,text,null,NO,null
public,audit_logs,5,resource_type,text,null,NO,null
public,audit_logs,6,resource_id,text,null,NO,null
public,audit_logs,7,old_values,jsonb,null,YES,null
public,audit_logs,8,new_values,jsonb,null,YES,null
public,audit_logs,9,ip_address,inet,null,YES,null
public,audit_logs,10,user_agent,text,null,YES,null
public,audit_logs,11,created_at,timestamp with time zone,null,YES,CURRENT_TIMESTAMP
public,billing_history,1,id,uuid,null,NO,gen_random_uuid()
public,billing_history,2,user_id,uuid,null,NO,null
public,billing_history,3,created_at,timestamp with time zone,null,NO,now()
public,billing_history,4,plan_id,text,null,NO,null
public,billing_history,5,amount_paid,numeric,null,NO,null
public,billing_history,6,upi,text,null,YES,null
public,billing_history,7,invoice_url,text,null,YES,null
public,billing_history,8,payment_status,text,null,YES,'paid'::text
public,billing_history,9,razorpay_payment_id,text,null,YES,null
public,billing_history,10,razorpay_subscription_id,text,null,YES,null
public,billing_history,11,razorpay_invoice_id,text,null,YES,null
public,billing_history,12,currency,text,null,YES,'INR'::text
public,billing_history,13,notes,jsonb,null,YES,null
public,billing_history,14,razorpay_order_id,text,null,YES,null
realtime,messages_2025_09_28,1,topic,text,null,NO,null
realtime,messages_2025_09_28,2,extension,text,null,NO,null
realtime,messages_2025_09_28,3,payload,jsonb,null,YES,null
realtime,messages_2025_09_28,4,event,text,null,YES,null
realtime,messages_2025_09_28,5,private,boolean,null,YES,false
realtime,messages_2025_09_28,6,updated_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_28,7,inserted_at,timestamp without time zone,null,NO,now()
realtime,messages_2025_09_28,8,id,uuid,null,NO,gen_random_uuid()
public,document_chunks,1,id,uuid,null,NO,gen_random_uuid()
public,document_chunks,2,document_id,uuid,null,NO,null
public,document_chunks,3,user_id,uuid,null,NO,null
public,document_chunks,4,content,text,null,NO,null
public,document_chunks,5,embedding,USER-DEFINED,null,YES,null
public,document_chunks,6,workspace_id,uuid,null,YES,null
public,error_logs,1,id,uuid,null,NO,gen_random_uuid()
public,error_logs,2,user_id,uuid,null,YES,null
public,error_logs,3,workspace_id,uuid,null,YES,null
public,error_logs,4,error_type,text,null,NO,null
public,error_logs,5,error_message,text,null,NO,null
public,error_logs,6,error_stack,text,null,YES,null
public,error_logs,7,request_id,text,null,YES,null
public,error_logs,8,endpoint,text,null,YES,null
public,error_logs,9,method,text,null,YES,null
public,error_logs,10,status_code,integer,null,YES,null
public,error_logs,11,ip_address,inet,null,YES,null
public,error_logs,12,created_at,timestamp with time zone,null,YES,CURRENT_TIMESTAMP
realtime,messages,3,topic,text,null,NO,null
realtime,messages,4,extension,text,null,NO,null
realtime,messages,5,payload,jsonb,null,YES,null
realtime,messages,6,event,text,null,YES,null
realtime,messages,7,private,boolean,null,YES,false
realtime,messages,8,updated_at,timestamp without time zone,null,NO,now()
realtime,messages,9,inserted_at,timestamp without time zone,null,NO,now()
realtime,messages,10,id,uuid,null,NO,gen_random_uuid()
public,security_events,1,id,uuid,null,NO,gen_random_uuid()
public,security_events,2,event_type,text,null,NO,null
public,security_events,3,severity,text,null,NO,'medium'::text
public,security_events,4,user_id,uuid,null,YES,null
public,security_events,5,ip_address,inet,null,YES,null
public,security_events,6,user_agent,text,null,YES,null
public,security_events,7,endpoint,text,null,YES,null
public,security_events,8,method,text,null,YES,null
public,security_events,9,status,text,null,YES,'new'::text
public,security_events,10,event_data,jsonb,null,YES,'{}'::jsonb
public,security_events,11,additional_context,jsonb,null,YES,'{}'::jsonb
public,security_events,12,session_id,text,null,YES,null
public,security_events,13,request_id,text,null,YES,null
public,security_events,14,created_at,timestamp with time zone,null,YES,now()
public,security_events,15,updated_at,timestamp with time zone,null,YES,now()
public,audit_trail,1,id,uuid,null,NO,gen_random_uuid()
public,audit_trail,2,table_name,text,null,NO,null
public,audit_trail,3,operation,text,null,NO,null
public,audit_trail,4,record_id,uuid,null,YES,null
public,audit_trail,5,user_id,uuid,null,YES,null
public,audit_trail,6,old_values,jsonb,null,YES,null
public,audit_trail,7,new_values,jsonb,null,YES,null
public,audit_trail,8,changed_fields,ARRAY,null,YES,null
public,audit_trail,9,endpoint,text,null,YES,null
public,audit_trail,10,request_id,text,null,YES,null
public,audit_trail,11,session_id,text,null,YES,null
public,audit_trail,12,ip_address,inet,null,YES,null
public,audit_trail,13,user_agent,text,null,YES,null
public,audit_trail,14,reason,text,null,YES,null
public,audit_trail,15,additional_context,jsonb,null,YES,'{}'::jsonb
public,audit_trail,16,created_at,timestamp with time zone,null,YES,now()
public,authentication_events,1,id,uuid,null,NO,gen_random_uuid()
public,authentication_events,2,event_type,text,null,NO,null
public,authentication_events,3,user_id,uuid,null,YES,null
public,authentication_events,4,email,text,null,YES,null
public,authentication_events,5,ip_address,inet,null,YES,null
public,authentication_events,6,user_agent,text,null,YES,null
public,authentication_events,7,session_id,text,null,YES,null
public,authentication_events,8,request_id,text,null,YES,null
public,authentication_events,9,success,boolean,null,NO,null
public,authentication_events,10,failure_reason,text,null,YES,null
public,authentication_events,11,event_data,jsonb,null,YES,'{}'::jsonb
public,authentication_events,12,suspicious,boolean,null,YES,false
public,authentication_events,13,requires_review,boolean,null,YES,false
public,authentication_events,14,created_at,timestamp with time zone,null,YES,now()
public,rate_limit_violations,1,id,uuid,null,NO,gen_random_uuid()
public,rate_limit_violations,2,user_id,uuid,null,YES,null
public,rate_limit_violations,3,ip_address,inet,null,NO,null
public,rate_limit_violations,4,endpoint,text,null,NO,null
public,rate_limit_violations,5,limit_type,text,null,NO,null
public,rate_limit_violations,6,current_count,integer,null,NO,null
public,rate_limit_violations,7,limit_threshold,integer,null,NO,null
public,rate_limit_violations,8,window_duration_seconds,integer,null,NO,null
public,rate_limit_violations,9,user_agent,text,null,YES,null
public,rate_limit_violations,10,session_id,text,null,YES,null
public,rate_limit_violations,11,request_id,text,null,YES,null
public,rate_limit_violations,12,request_data,jsonb,null,YES,'{}'::jsonb
public,rate_limit_violations,13,created_at,timestamp with time zone,null,YES,now()
public,security_alerts,1,id,uuid,null,NO,gen_random_uuid()
public,security_alerts,2,alert_type,text,null,NO,null
public,security_alerts,3,severity,text,null,NO,'medium'::text
public,security_alerts,4,title,text,null,NO,null
public,security_alerts,5,description,text,null,YES,null
public,security_alerts,6,user_id,uuid,null,YES,null
public,security_alerts,7,ip_address,inet,null,YES,null
public,security_alerts,8,endpoint,text,null,YES,null
public,security_alerts,9,event_count,integer,null,YES,1
public,security_alerts,10,first_seen,timestamp with time zone,null,YES,now()
public,security_alerts,11,last_seen,timestamp with time zone,null,YES,now()
public,security_alerts,12,status,text,null,YES,'active'::text
public,security_alerts,13,acknowledged_by,uuid,null,YES,null
public,security_alerts,14,acknowledged_at,timestamp with time zone,null,YES,null
public,security_alerts,15,resolved_by,uuid,null,YES,null
public,security_alerts,16,resolved_at,timestamp with time zone,null,YES,null
public,security_alerts,17,resolution_notes,text,null,YES,null
public,security_alerts,18,metadata,jsonb,null,YES,'{}'::jsonb
public,security_alerts,19,created_at,timestamp with time zone,null,YES,now()
public,security_alerts,20,updated_at,timestamp with time zone,null,YES,now()
realtime,subscription,1,id,bigint,null,NO,null
realtime,subscription,2,subscription_id,uuid,null,NO,null
realtime,subscription,4,entity,regclass,null,NO,null
realtime,subscription,5,filters,ARRAY,null,NO,'{}'::realtime.user_defined_filter[]
realtime,subscription,7,claims,jsonb,null,NO,null
realtime,subscription,8,claims_role,regrole,null,NO,null
realtime,subscription,9,created_at,timestamp without time zone,null,NO,"timezone('utc'::text, now())"
public,workspaces,1,id,uuid,null,NO,gen_random_uuid()
public,workspaces,2,name,text,null,NO,'My Workspace'::text
public,workspaces,3,slug,text,null,NO,null
public,workspaces,4,created_at,timestamp with time zone,null,NO,now()
public,workspaces,5,updated_at,timestamp with time zone,null,NO,now()
public,usage_counters,1,id,uuid,null,NO,gen_random_uuid()
public,usage_counters,2,user_id,uuid,null,NO,null
public,usage_counters,3,workspace_id,uuid,null,NO,null
public,usage_counters,4,month,text,null,NO,null
public,usage_counters,5,monthly_uploads,integer,null,NO,0
public,usage_counters,6,monthly_conversations,integer,null,NO,0
public,usage_counters,7,monthly_words,integer,null,NO,0
public,usage_counters,8,total_stored_words,integer,null,NO,0
public,usage_counters,9,created_at,timestamp with time zone,null,NO,now()
public,usage_counters,10,updated_at,timestamp with time zone,null,NO,now()
public,leads,1,id,uuid,null,NO,gen_random_uuid()
public,leads,2,workspace_id,uuid,null,NO,null
public,leads,3,name,text,null,YES,null
public,leads,4,email,text,null,YES,null
public,leads,5,phone,text,null,YES,null
public,leads,6,message,text,null,YES,null
public,leads,7,metadata,jsonb,null,YES,'{}'::jsonb
public,leads,8,status,text,null,NO,'new'::text
public,leads,9,created_at,timestamp with time zone,null,NO,now()
public,leads,10,updated_at,timestamp with time zone,null,NO,now()
public,leads,11,quality_score,integer,null,YES,0
public,leads,12,source_page,text,null,YES,null
public,profiles,1,id,uuid,null,NO,null
